약어,원어,설명,참고자료
DURA,DURABILITY,내구성.,-
DUST IND,DUST INDICATIOR,공기 필터에 먼지의 상태를 감지하여 운전자에게 경고등을 표시.,-
DUST SENSOR,-,에어 필터에 먼지가 끼면 이를 감지하여 경고등을 보여준다.,-
DV,DESIGN VALIDATION,제품이 정해진 사용자의 요구 및/ 또는 요구사항에 적합하다는 것을 보장하는 수단으로 성공적인 설계 검증이 이루어진 후에 고객 프로그램 일정 요구사항과 연계되어 최종제품으로 실차조건하에서 수행하는 것이 바람직하다.,-
DVD NAVI,DIGITAL VERSATILE DISC,"DVD 항법 장치. DVD에 의한 3D 입체지도 및 지번에 의한 상세지도를 표시하고 다양한 부가 안내정보(교통, 관광, 숙박 등) 제공 및 검색속도 향상을 추구",-
DVP,Design Validation Process,"ELECTRICAL TEST(통전, 절연저항,전압강하, 과전류 시험) MECHANICAL TEST( 진동, 충격, 낙하, 콘넥터 삽입력, 토크시험) ENVIROMENTAL TEST( 고,저온, 온도상승, 방수및염수, DUST, 절연저항 시험) DURABICITY(내구성) TEST(KEY LIFE 시험) 등을 통해 DESIGN의 유효성을 검",-
DVP,Design Verification Plan,설계 검증 계획.,-
DVRS,Drive Video Record System,"빌트인 캠(Built-in Cam). 일종의 주행 영상기록장치. 내장형 블랙박스로 인포테인먼트 화면 및 스마트폰과 연동되며 전후방 고화질 녹화, 주차 중 녹화(보조배터리 장착 시), 충격감지 모드가 탑재됨. (DVRS 사용 지양)",-
DVV,DOUBLE VACUUM VALVE,이중 진공 밸브.,-
DWL,Dynamic Welcome Light,"다이나믹 웰컴 라이트. 운전자가 다가가거나 주차하고 멀어질 때, 자동차가 빛으로 인사를 하는 듯한 감성풀질을 고려한 기술.",-
DWS,Distance Warning System,차간 거리 확보로 사고를 방지하는 SYSTEM. (차간 안전 거리를 입력후 그 범위 이내 들어가면 경보),-
DWS,Driver State Warning,운전 상태 경고 시스템.,-
DYN,DYNAME,직류 발전기.,-
E.B.D,ELECTRONIC BRAKE FORCE DISTRIBUTION,"자동 제동력 분배 시스템(승차인원, 화물 적재량, 노면상태, 코너링 여부에 따라 제동력을 자동 조절해 주므로 기존 ABS에 비해 제동거리, 제동력을 자동 조절해 주므로 기존 ABS에 비해 제동거리, 제동안전성이 향상된 차세대 ABS입니다.",-
E.O,ENGINEER CHANGE ORDER,MASTER 도면이 나온후 사양변경내역서를 반영하여 출도되는 도면을 말한다.,-
E.T.R,ELECTRONIC TUNNING RADIO,희망 주파수를 전자식 BUTTON(SEEK. TUNE)을 사용하여 수신하는 방식.,-
E/D,EXPIRY DATA,유효기간.,-
EARTH,EARTH,접지.,-
EAS,ELECTRONIC AIR SUSPENSION,전자식 에어 서스펜션.(자동차 내부 센서를 통해 받는 데이터를 근거로 차고를 전자적으로 제어하는 시스템),-
EAS,ELECTRONIC SELF-LEVELING AIR SUSPENSION,노면 상태나 주행 상황에 따라 최적의 차 높이를 유지해 주는 전자 제어 에어 서스펜션 적용 차종 : 뉴체어맨 자료 출처 : http://ilgan.joins.com/life/200510/03/200510031104345601100000100400100405.html,-
e-ASD,e-Active Sound Design,액티브 사운드 디자인. 엔진 사운드와 실시간으로 디자인한 가상 사운드를 결합해 차량 성격에 어울리는 입체적인 사운드를 연출하는 기술,-
EB,EARTH BASE,LIGHT SW(EB),-
EBD,Electronic Brakeforce Distribution,"전자식 제동력 분배장치. 승객 및 화물의 적재에 따른 전,후륜 무게 변화를 감지하여 브레이크 압력을 분배하여 공차시와 같은 수준의 제동력을 확보하는 제동성능 향상장치(ABS에 포함되는 기능)",-
EBD ABS,ELECTRONIC BRAKE-FORCE DISTRIBUTION ABS,"승객 및 화물의 적재 여부에 따라 변화하는 전,후륜 무게 변화에 따라서 BRAKE 압력을 변화시켜 제동성능 향상.",-
EBOM,Engineering Bill Of Materials,"E-BOM, 설계부품표",-
EBS,ELECTRONIC BATTERY SENSOR,전자식 배터리 센서.BSD(배터리 상태 예측)을 위해 필요한 센서,-
EBS,ELECTRONIC BRAKE SYSTEM,각종 SENSOR와 ECU를 이용하여 최적의 제동상태를 유지해주는 전자제어 BRAKE SYSTEM.,-
EC,EUROPEAN COMMUNITIES,유럽공동체.,-
ECAS,Electronically Controlled Air Suspension,운전자가 리모컨 조작을 통해 차량 높이를 변환해 주는 전자 제어 에어 서스펜션,-
ECC,ELECTRICALLY CONTROLLED CARBURETOR,전자 제어식 기화기.,-
ECC,ELECTRONICS CONCENTRATED ENGINE CONTROL,엔진의 전자 집중 제어.,-
ECD,Engineering Change Description,"기술사양변경내역, 기술사양변경내역서,기술사양변경통보서,사양변경 (추가/삭제) 에 사용되는 양식 (= 도면 배포 시 별도 첨부 파일)",-
ECE,ECONOMIC COMMISSION EUROPE,유럽 경제 위원회. 유엔 산하의 유럽 경제 위원회이며 유럽의 대부분 국가가 가입되어 있음,-
ECE,ECONOMIC COUNCIL FOR EUROPE,유럽 수출용 타이어 품질 인증 마크,-
ECFI,ELECTRONICS CONTROLLED FUEL INJECTION,전자 제어 연료 분사.,-
ECGI,ELECTRONICS CONTROLLED GASOLINE INJECTION,전자 제어 가솔린 분사.,-
ECI,ELECTRONIC CONTROL INJECTION SYSTEM,전자 제어 연료 분사 장치.,-
ECIMS,ENGINEERING CAD INFORMATION MANAGEMENT SYSTEM,도면설계 시작부터 기술관리 EO발행까지 전자결재를 통한 CAD 도면 관리 시스템.,-
ECM,Electro-Chromic Mirror,"전자 감응식 실내 미러. 야간 주행 시, Mirror에 노출되는 빛의 세기에 따라 거울의 반사율을 자동으로(전기적으로) 제어하여 눈부심을 방지하는 백미러",-
ECM,ELECTRONIC CONTROL ENGINE MOUNT,전자 제어 엔진 마운팅,-
ECM,ELECTRONIC CONTROL MODULE,기판과 집적회로로 구성된 전자적인 CONTROL 장치(ENGINE ECU),-
ECM,ELECTRONIC CONTROL MODULE,배출가스 제어를 조절하는 모듈.,-
ECN,ENGINEERING CHANGE NOTIFICATION,NOTHING,-
ECO,ENGINEERING CHANGE ORDER,"설계정보를 관련 부문에 전달하기 위해 변경 전,후의 상태를 그림으로 나타내 E.O에 첨부한 양식.",https://bizfile.tistory.com/156
ECO,ENGINEERING CHANGE ORDER,사양변경지시서,-
ECOS,ELECTRICAL CKECK OUT SYSTEM,NOTHING,-
ECPS,ELECTRONIC CONTROL POWER STEERING,차속과 스티어링 휠의 조향력에 따라 콘트롤 유니트가 스티어링 어셈블리에 장착된 모터의 전류를 제어하여 파워 어시스트를 하는 시스템.(전자제어 파워 스티어링),-
ECR,ENGINEERING CHANGE REQUEST,설계 변경 요구서(의뢰서),-
ECS,ELECTRONIC CONTROL SUSPENSION,현가장치를 전자식으로 속도 또는 노면 상태에 따라 조정함. (전자 제어 현가 장치) 차량의 높이와 서스펜션의 특성 (스프링 상수 및 감쇠력)이 컴퓨터에 의해 자동 조절. 주행 조건이나 노면 상태에 따라 지상고나 감쇄력을 변경하여 최적의 승차감이나 조향 성능을 유지하게 해 주는 장치,-
ECS,EMERGENCY COMMUNICATION SYSTEM,"차량내 장착된 통신 단말기를 통하여 사고, 고장, 비상사태 발생시 외부센터에 자동으로 통보해주는 시스템",-
ECS ACTR,ELECTRONIC CONTROL SUSPENSION ACTUATER,전자 제어 현가 장치 작동기.,-
ECS COMP,ELECTRONIC CONTROL SUSPENSION COMPRESSOR,압축기. HARD/SOFT 전환을 위한 압축 공기를 생성.,-
ECS CUT-OFF SW,ELECTRONIC CONTROL SUSPENSION CUT-OFF SWITCH,주행조건이나 노면 상태에 따라 지상고나 감쇄력을 변경하여 최적의 승차감이나 조향 성능을 유지하게 해 주는 장치를 OFF하는 스위치.,-
ECS DIODE,ELECTRONIC CONTROL SUSPENSION DIODE,전자 제어 현가 장치 보호용 다이오드.,-
ECS G/SNSR,ELECTRONIC CONTROL SUSPENSION GRAVITY SENSOR,중력을 감시하는 센서.,-
ECS HEIGHT SNSR,ELECTRONIC CONTROL SUSPENSION HEIGHT SENSOR,지상고를 감시하는 센서.,-
ECS PRESS RLY,ELECTRONIC CONTROL SUSPENSION PRESS RELAY,ECS 압력용 릴레이.,-
ECS PRESS SW,ELECTRONIC CONTROL SUSPENSION PRESS SWITCH,쇽 업소버와 관련된 압력 스윗치.,-
ECS SOL,ELECTRONIC CONTROL SUSPENSION SOLENOID,주행조건이나 노면 상태에 따라 지상고나 감쇄력을 변경하여 최적의 승차감이나 조향 성능을 유지하게 해 주는 장치,-
ECS SW,ELECTRONIC CONTROL SUSPENSION SWITCH,전자 제어 현가 장치 작동 스윗치.,-
ECS UNIT,ELECTRONIC CONTROL SUSPENSION UNIT,주행 조건이나 노면 상태에 따라 지상고나 감쇄력을 변경하여 최적의 승차감이나 조향 성능을 유지하게 해 주는 장치.,-
ECS VAL,ELECTRONIC CONTROL SUSPENSION VALVE,전자 제어 현가 장치를 작동시키는 유압 밸브. 차고 조정 중 공기 압력 조절 및 SOLENOID VALVE를 개폐시킴으로서 SUSPENSION 특성을 HARD/SOFT로 전환 시키는 기능.,-
ECT,ELECTRIC CAB TILTING,"캡 틸트는 전동 유압식이며 모터로 오일 펌프를 구동하여 유압을 발생시켜 캡 틸트 실린더로 캡을 OPEN, CLOSE 할 수 있는 시스템이다. 풀 플로팅 캡은 주행중의 진동이 직접 실린더에 전달되지 않도록 실린더 내부에서 진동을 흡수 할 수 있는 구조이다.",-
ECT SW,ELECTRONIC CONTROL TRACTION SWITCH,차가 코너를 돌때 속도에 따라 차의 균형을 맞춰 코너링을 좋게하는 장치의 작동 스윗치.,-
ECTS,ENGINE COOLANT TEMPERATURE SENSOR,"엔진 냉각수의 온도를 측정하는 센서입니다. 엔진의 공회전 스피드에 영향을 미치며 라디에이터 팬을 작동시키는 기준 ECTS = CTS, WTS CTS = COOLANT TEMPERATURE SENSOR WTS = WATER TEMPERATURE SENSOR",-
ECU,ELECTRONIC CONTROL UNIT,"전자 제어 장치. 작동 SENSING SIGNAL을 토대로 엔진의 연료량 및 공기량, 점화시기 등을 조정. MPI 차량의 두뇌로서 ENG을 정상 상태로 조절하고, 열효율을 높여서 연료를 절약하고, 차량의 고장 상태를 감지하여 사고를 예방하는 등 자동차의 모든 부위를 감지하여 최적 상",-
ECU,ENGINE CONTROL UNIT,"엔진 전자제어 장치.차의 공연비 및 출력, 배기가스를 제어하는 전자제어 UNIT",-
ECU CONT RLY,ELECTRONIC CONTROL UNIT CONTROL RELAY,ECU 작동을 조절하는 장치. (시동 릴레이)(F/PUMP RLY+MAIN RLY),-
ECU EARTH,ELECTRONIC CONTROL UNIT EARTH,ECU 접지.,-
ECU WIRG CONN,ECU WIRING CONNECTOR,ECU 와이어링 콘넥터,-
ECU_ECAS,-,"전자제어장치가 센서에서 입력 받은 주행정보를 종합해, 차체의 자세와 높이 등을 제어하는 장치",-
ECV,Electromagnetic Control Valve,전기 마그네틱 컨트롤 벨브,-
EDB,ELECTRICAL DISTRIBUTION BOX,"JUNCTION BOX 와 뜻하는바가 같다. 업체, 나라별로 EDB 혹은 J/BOX를 택일하여 사용함.",-
EDMS,ELECTRONIC DATA MANAGEMENT SYSTEM,"문서관리 프로세스에서 발생하는 모든 정형 비정형 문서를 체계적으로 분류하여 통합, 관리하고 강력한 검색 기능을 제공하여 신속하고 편리하게 활용할 수 있도록 해주는 시스템.",-
EDPS,ELECTRONIC DATA PROCESSING SYSTEM,전산 자료 처리 장치.,-
EDR,Event data recorder,사고기록장치.,-
EDU,EGR Drive Unit,엔진부 배기가스 재순환 장치,-
EEC,ELECTRONIC ENGINE CONTROL,엔진 통합 전자 제어.,-
EEC,EUROPEAN ECONOMIC COMMUNITY,유럽 경제 공동체.,-
EEC,EVAPORATIVE EMISSION CONTROL,연료 증발 가스 발산 방지 장치.,-
EEGR VALVE,ELECTRICAL EXHAUST GAS RECIRCULATION VALVE,EGR의 양을 조정하기 위하여 ECU에 의해서 제어되는 솔레노이드 밸브.,-
EEV,Electronic Expansion Valves,전자팽창밸브,-
EEWP,Engine Electric Water Pump,엔진 전자식 워터펌프,-
EFA,ELECTRONICALLY FULL AUTOMATIC AIR CONDITIONER,전자 제어 오토 에어콘.,-
EFD,Emergency Fastening Device,정면 충돌 시 앞좌석 승객의 골반 쪽 벨트를 순간적으로 잡아당겨 하체를 보호하는 안전벨트의 효과를 한층 높여 주는 장치,-
F/CUT SOL,FUEL CUT SOLENOID,연료 차단 솔레노이드. 급 감속시 ECU로부터 신호를 받아 ON되어 주 조정 스크류 쪽의 연료를 차단한다.,-
F/FILLER OPENER SW,FUEL FILLER OPENER SWITCH,연료 공급 뚜껑 개/폐 스윗치.,-
F/FIXED,FULL FIXED WINDOW BUS,BUS SIDE WINDOW에 고정된 창문으로 개폐가 불가함.,-
F/L,FACE LIFT,"차량 LIFE CYCLE 중간에 상품성 개선 및 IMAGE 제고를 위해 모델 일부분(바디,엔진,샤시)을 개선 변경하는 것(예:승용->휀더,후드/상용->프론트 판넬) 후속차량인 경우 기본 프레임은 그대로 유지하고 겉모양만 살짝 바꾸는 것.",-
F/LIFT,FACE LIFT,동일 SERIES 모델에 대한 부분적 개량.,-
F/LINK,FUSIBLE LINK,대전류 용량의 FUSE 기능으로 FUSE BOX 전원과 분리되어 운용됨.,-
F/LINK BOX,FUSIBLE LINK BOX,대전류 ITEM을 FUSE BOX를 거치지 않고 분리시킴. 대전류 용량의 FUSE 기능으로 SHORT나 과전류 보호 방지.,-
F/PRESS SOL,FUEL PRESSURE SOLENOID,연료 압력 조절기.,-
F/PUMP,FUEL PUMP,연료 펌프. 연료 탱크의 연료를 압송하여 인젝터에 공급하는 펌프.,-
F/PUMP CHK,FUEL PUMP CHECKER,연료 펌프 점검 장치.,-
F/PUMP MTR,FUEL PUMP MOTOR,연료를 공급하는 모터,-
F/PUMP RLY,FUEL PUMP RELAY,연료 공급 모터를 구동하기 위한 릴레이,-
F/PUMP SNSR,FUEL PUMP SENSOR,연료 공급 모터의 고장 상태를 감지하여 운전자에게 경고등 표시.,-
F/SLIDE,FULL SLIDE WINDOW BUS,BUS SIDE WINDOW 전면 여닫이가 가능한 구조.,-
F/SNDR,FUEL SENDER,연료량을 측정하여 클러스터에 알려주는 장치. 연료 탱크에 위치하고 있음.,-
F/T SNSR,FUEL TEMPERATURE SENSOR,인젝터 부위의 연료 온도를 감지하여 ECU에 FEED BACK하는 온도 감지 센서.,-
F/TANK,FUEL TANK,연료 탱크.,-
F/TANK MTR & SNDR,FUEL TANK MOTOR AND SENDER,연료량을 측정하여 클러스터에 알려주는 장치. 연료 탱크에 위치하고 있음.,-
F/UP,FOLLOW UP,사후 관리.,-
F_LINK,FUSIBLE LINK,"FUSIBLE LINK는 높은 전압을 주었을 때 회로를 단절시키는 연결방식이다. FUSIBLE LINK도 FUSE와 비슷한 동작을 한다. FUSIBLE LINK의 특징은 다음과 같다. 1. FUSIBLE LINK는 한번 차단되면 그 부분을 다시 복구해야 동작하는 것이고, 차단 방법에서도 단선이 되는 것을 의미한다. 또한, 회로보호기(CIRCUIT BRAKER)와 다르게 차단 시간도 느린편이다.",-
FA1,FUNCTIONAL ASSEMBLY 1,차량 개발 일정의 PROTO 단계를 표시하는 약어로 PROTO 단계를 나누어 구분 할 때의 첫단계를 말함. 두번째나 개선 단계는 FA2(FUNCTIONAL ASSEMBLY 2)로 표시함.,-
FA2,FUNCTIONNAL ASSEMBLY 2,1차 시작이후 평가를 통한 설계 변경이 반영된 Proto Car 제작.,-
FADE,FADE,계속해서 브레이크를 밟으면 브레이크 라인링의 재질을 변형시켜 마찰계수가 떨어져서 브레이크를 밟아도 미끄러지는 현상.(베이퍼 록 현상 참조).,-
FAM,Front Area Module,차량/실내 전방부에 장치된 기기의 통신모듈,-
FAST BACK,FAST BACK,몸체 뒤쪽이 지붕의 경사처럼 비스듬한 스타일이다.,-
FATC,FULL AUTO AIR CONDITIONER TEMPERATURE CONTROL,"차량상태(냉각구온, COMPRESSOR 작동상태, 실내온도, 설정온도 등)와 주변환경(외기온, 일사량, 습도등)을 FATC제어 UNIT에서 감지하고 이에 따라 냉,난방 장치(송풍기,TEMPERATURE DOOR, MODE DOOR, INTAKE DOOR, COMPRESSOR등)를 제어하여 차실내 온도를 목표 온도로 유지하는 시스템",-
FB,FEED-BACK,환원 장치.,-
FBC,FEED BACK CARBURETOR,전자 제어 기화기 엔진. 배기가스를 재순환 시켜 연소 시키는 전자식 카뷰레타 엔진.,-
FBM,FEED BACK MIXTURE,전자 제어 믹스 엔진.,-
FBM C/U,FEED BACK MIXTURE CONTROL UNIT,궤환 혼합 조정 장치 (Feed Back Mixer system). 전자제어식 LPG 연료공급장치로서 유해한 배기 가스를 최소한으로 감소하여 적정한 공연비를 공급. 컴퓨터는 각종 센서로부터 신호를 받은 다음 판독하여 각종 제어 밸브를 적절히 ON OFF시켜 공연비를 조절.,-
FBSV,FEED BACK SOLENOID VALVE,"86년형 이전의 ELECTRONIC 카뷰레타 연료, 유량을 제어하는 전자 장치.",-
FBWS,FRONT BACK WARNING SYSTEM,전후방 경보 시스템,-
FC,FUEL CELL,연료전지. 축전지와 연료를 겸용으로 하는 차량.,-
FCA,Forward Collision-Avoidance Assist,"전방 충돌방지 보조 시스템. FCW의 기능이 확장된 시스템으로 전방의 차량, 장애물과의 충돌 위험을 경고하는 것은 물론 차량의 제동 및 조향까지 제어하는 시스템.",-
FCA w/ ESA,Forward Collision-Avoidance Assist with Evasive Steering Assist,전방 충돌방지 보조 (회피 조향 보조 기능 포함),-
FCA w/ ESA,Forward Collision-Avoidance Assist with Evasive Steering Assist,-,-
FCA-Car,Forward Collision-Avoidance Assist-Car,전방 충돌방지 보조-차량,-
FCA-Car,Forward Collision-Avoidance Assist-Car,-,-
FCA-Cyc,Forward Collision-Avoidance Assist-Cyc,전방 충돌방지 보조-이륜차,-
FCA-Cyc,Forward Collision-Avoidance Assist-Cyc,-,-
FCA-JC,Forward Collision-Avoidance Assist-Junction Crossing,전방 충돌방지 보조-교차 차량,-
FCA-JC,Forward Collision-Avoidance Assist-Junction Crossing,-,-
FCA-JT,Forward Collision-Avoidance Assist-Junction Turning,전방 충돌방지 보조-교차로 대향차,-
FCA-JT,Forward Collision-Avoidance Assist-Junction Turning,-,-
FCA-LO,Forward Collision-Avoidance Assist-Lane-Change Oncoming,전방 충돌방지 보조-추월시 대향차,-
FCA-LO,Forward Collision-Avoidance Assist-Lane-Change Oncoming,-,-
FCA-LS,Forward Collision-Avoidance Assist-Lane-Change Side,전방 충돌방지 보조-측방 접근차,-
FCA-LS,Forward Collision-Avoidance Assist-Lane-Change Side,-,-
FCA-Ped,Forward Collision-Avoidance Assist-Ped,전방 충돌방지 보조-보행자,-
FCA-Ped,Forward Collision-Avoidance Assist-Ped,-,-
FCCU,Fuel Cell Control Unit,-,-
FCEV,FUEL CELL ELECTRIC VEHICLE,수소 연료 전지차. 수소와 산소의 결합시 발생하는 전기 에너지를 이용하여 주행하는 전기 자동차 (일반적인 전기차의 다른 형태로 저장된 전기를 사용하는 것이 아닌 전기를 생성하여 구동하는 자동차),-
FCM,Front-view Camera Module,카메라로 입력된 전방의 영상을 분석하는 별물형 제어기.,-
FCS,FUEL CELL SYSTEMS,"연료전지 시스템. 수소,메탄을 연료로 하는 연료전지 시스템",-
FCU,Fan Coil Unit,-,-
FCU,Fuel cell Control Unit,"연료전지 시스템, 전력 분배, 구동 제어 등을 제어하는 최상위 제어기",-
FCV,FUEL CUT VALVE,연료 정지 밸브.,-
FCW,Forward Collision Warning,전방 충돌 경고 시스템. 전방 차량과의 충돌 위험이 감지됐을 때 운전자에게 위험을 경고하는 주행안전 시스템.,-
FCW,Forward Collision Warning,-,-
FDC,Fuel-cell DC-DC Converter,수소연료전지 DC-DC 컨버터. 수소연료전지스택으로부터 받은 전압을 승압해 고전압 배터리를 충전하고 동시에 모터를 구동하는 인버터에 전력을 공급하는 장치,-
FDR,FORMAL DESIGN REVIEW,공식적 설계/개발검토를 뜻함 :다음단계로의 진행여부 판단(Sign-off),-
FEEDING POINT,급선점.,GLASS ANT PATTERN부에서 수신된 신호를 다음단으로 출력시켜주는 부위.,-
FEM,Front End Module,"자동차 프런트 앤드 모듈. 차량 전방측 범퍼에서부터 엔진 직전까지의 모듈을 뜻함 (라디에이터, 헤드램프, 범퍼 빔, 캐리어, AAF 등 엔진룸 앞쪽 기능 부품들을 통합하여 완성차 업체에 공급하는 제품 단위)",-
N,안승민,2022-02-11 pm 1:24:23,-
FET,FIELD EFFECT TRANSISTOR,전계 효과 트랜지스터. 게이트-소스간의 전압에 의한 정전계로 소스-드레인간의 전류를 제어하는것.,-
FF,FRONT ENGINE FRONT DRIVE,"전륜구동. 차량 전방 엔진 배치, 앞 바퀴로 구동하는 방식 - 통상적인 승용차량에 적용 - 장단점 : 차량 실내공간확보 유리, 차량 중량 배분 불리",-
FFC,Flexible Flat Cable,연성 평면 케이블. 납작하고 유연한 납작한 단선 도체를 사용하는 다양한 전기 케이블을 뜻함.,-
FFC,FLEXIBLE FLAT CIRCUIT,기존의 WIRING HARNESS를 박막 동판으로 회로를 구성하여 FILM LAMINATE 처리하여 절연한 형태의 차세대 WIRING HARNESS.,-
FFV,FLEXIBLE FUEL VEHICLE,"메탄올, 에탄올을 혼합한 연료로 주행하는 자동차",-
FIA,FEDERATION OF INTERNATIONAL AUTOMOBILE,국제 자동차 연맹.,-
FIAV,FIRST IDLE AIR VALVE,1차 공기 조절 밸브.,-
FICD,FIRST IDLE CONTROL DEVICE,무 부하 엔진 출력 촉진 조절 장치.,-
FIS,FOUR WHEEL INDEPENDENT SUSPENSION,4륜 독립 서스펜션.,-
FIS,FRONT IMPACT SENSOR,앞쪽 충격 센서로 이 신호에 의해 A/BAG의 작동 됨.,-
FIS,FRONT IMPACT SENSOR,"A/BAG SYSTEM의 일부로서, 전방에서 발생하는 충격을 감지하여 A/BAG(DRV AND/OR ASS)을 작동시키기 위한 충격 감지 센서 통상, 용량 : 0.2mA, 정상소비전류 : 5~8mA, 최대구속전류 : 35mA로 설정.(INFORM 참고)",-
FISA,FEDERATION INTERNATIONAL DES SPORTS AUTOMOBILE,국제 자동차 스포츠 연맹.,-
FISITA,FEDERATION OF INTERNATIONAL SOCIETES D'INGENIEURS,국제 자동차 기술 국제 연맹. (파리에 본부가 있음.),-
FLA,Flooded Lead Acid,납-축전지. 모든 배터리는 내부에서 화학반응을 일으켜 전기를 축적하기 위해 '전해액'을 사용하는데 전해액이 액체상태인 배터리를 Flooded Type라 칭함.,-
FLAP DOOR,-,"버스의 SIDE나 REAR에 설치되어 차체 하부에 있는 기능 PART의 장비 점검시 또는 화물적재시, 외부에서 열수 있도록 차체에 HINGE 된 문을 말함.",-
FLASHER UNIT,-,turn signal lamp 구동용 relay,-
FLEXRAY,FLEXRAY,CAN과 LIN의 저속 데이터 전송 기술을 대체하는 차세대 통신 프로토콜.,-
FLR,FLOOR,바닥.,-
FLR HARN,FLOOR HARNESS,플로어 하네스,-
FLVV,FILL LIMIT VENT VALVE,"주유량에 따른 급유차단, 급유/평상시 연료 탱크내 증발가스를Canister로 VENT",-
FM,FIELD MAAINTENANCE,야전장비,-
FMC,FULL MODEL CHANGE,"기존차종을 단종하고 후속차종 개념으로 내장, 외장, 엔진, 샤시전반에 걸쳐, 전면적으로 개선 변경하는 모델",-
FMCW,Frequency Modulated Continuous Wave,"주파수 변조 연속파 레이더. FM(변조된 송신파)를 수신받아 발생하는 주파수를 이용하여 거리특성을 알 수 있는 방식으로 속도, 거리측정이 가능. 안테나를 두 개 이상 사용할 경우, 위치를 파악할 수 있는 방식",-
FMEA,FAILURE MODE EFFECTS ANALYSIS,미리 예상되는 문제점을 찾아내어 그 영항과 요인을 분석하는 방법(고장형태 및 영향분석),-
FMED,Flywheel Mounted Eletric Device,병렬식 HEV의 한 방식으로 Soft type hybrid. 플라이휠에 BATT가 장착되는 형식으로 크기 제한이 있어서 EV Mode가 불가능하며 연비개선효과가 크지 않음. (ref. TMED),-
FMS,Fleet Management System,"전기버스의 배터리 충전 현황, 실시간 차량 위치 조회, 차량 운행 정보 등 차량과 관련된 다양한 빅데이터 분석 및 관리가 가능한 전기버스 전용 원격 관제 시스템",-
FMVSS,FEDERAL MOTOR VEHICLE SAFETY STANDARD,미 연방 자동차 안전 기준.,-
FO,FORCAST ORDER,예상(예측) 오더.,-
FO,FUTURE OBJECT,미래를 상징하는 차(신차 PROJECT 명),-
FOMS,Friction-Optimized Moving System,마찰 저감 무빙 시스템.,-
FOOT LP,FOOT LAMP,운전자의 발부분을 밝혀주는 램프.,-
FOOT P/BRK LP,FOOT PARKING BRAKE LAMP,족동식 주차용 브레이크 스윗치.,-
FOTA,Firmware Over-The-Air,펌웨어 원격 업데이트 기술 (ref. SOTA(Software Over-The-Air)),-
FPC,Fuel Pressure Control,연료 압력 조절기,-
FPCM,Fuel Pump Control Module,연료 펌프 컨트롤러 모듈.,-
FPCV,Fuel Pressure Control Valve,연료 압력 조절 밸브,-
FPD,Flat Panel Display,평판 디스플레이.,-
FPM,Finger Print Module,"지문 인식 기술.지문 인증을 통한 차량 내 간편 결제(카페이)와 시동 기능, 그리고 개인화 기술까지 연동",-
FPO,FINISH PAINT OUT,전착도장에 대한 표면처리 표기.,-
FPS,Fuel Processing System,수소공급장치. 시스템 출력에 따른 수소 압력 제어를 통하여 필요한 수소량을 스택에 제공함,-
FPSC,First Production Shipment Certification,초도양산부품인증. 양산 납품을 전제로 양산과 동일한 조건으로 초도 생산된 부품이 도면과 기술표준 요구사항에 부합하 는지의 여부를 중요 관리항목에 대한 전수검사 및 공정능력 측정을 통해 사전 품질을 확인하는 것이다.,-
FR,FRONT ENGINE REAR DRIVE,"후륜구동. 차량 전방 엔진 배치, 뒷 바퀴로 구동하는 방식 - 고급승용차, 트럭등에 사용 - 장단점 : 승차감 및 차량 중량배분 유리, 차량 중량 상승",-
FR C/LIGHTER,FRONT CIGAR LIGHTER,운전자쪽 CIGAR LIGHTER.,-
FR COMBI LP,FRONT COMBINATION LAMP,전조 복합등.,-
FR DMPR MTR,FRONT DAMPER MOTOR,앞 제동 모터.,-
FR DR SW,FRONT DOOR SWITCH,앞쪽문이 열리면 계기판에 신호해주는 스윗치.,-
FR ECS ACTR,FRONT ELECTRONIC CONTROL SUSPENSION ACTUATER,앞 좌석 전자 제어 현가 장치 작동기.,-
FR ECS SOL,FRONT ELECTRONIC CONTROL SUSPENSION SOLENOID,앞 좌석 전자 제어 현가 장치용 솔레노이드.,-
FR FOG LP,FRONT FOG LAMP,전방 안개등. 야간 주행시 일기 불순 지역에서 차량 운행시 보행자나 다른 차량이 원거리에서 판별 가능토록 하는 주위 표시등.,-
FR FOG LP SW,FRONT FOG LAMP SWITCH,전방 안개등 작동 스윗치.,-
FR HEIGHT SNSR,FRONT HEIGHT SENSOR,전고 감지 센서. (차 앞부분의 차고 높이),-
FR S/SNSR,FRONT SPEED SENSOR,ABS용 속도 감지기. 바퀴의 회전수 감지 및 DISK BRAKE의 회전수를 일정하게 조정.,-
FR SEAT HARN,FRONT SEAT HARNESS,프론트 시트 하네스,-
FR T/SIG LP,FRONT TURN SIGNAL LAMP,앞 방향 지시기.,-
FR WASHER MTR,FRONT WASHER MOTOR,앞 유리창 세척용 물을 뿜기 위한 모터.,-
FR WPR MTR,FRONT WIPER MOTOR,우천시 앞쪽 유리면의 빗물을 제거하기 위한 와이퍼 동작 모터.,-
FRE,FREsh,에어컨 외기모드.,-
FRM,FRAME,프레임.,-
FRONT,전면.,NOTHING,-
FRONT ENGINE REAR DRIVE,전기관 후륜 구동.,NOTHING,-
FRONT GUARD,-,적재물의 전방 쏠림에 의해 CAB 보호를 위한 적재함 (DECK) 전방향에 위치한 보호용 구조물.,-
FRT,FRONT,앞,-
